北海道電力,date,value
北海道電力,200601,3131735
北海道電力,200602,2922686
北海道電力,200603,2661764
北海道電力,200604,2715074
北海道電力,200605,2499483
北海道電力,200606,2291498
北海道電力,200607,2344762
北海道電力,200608,2526702
北海道電力,200609,2627320
北海道電力,200610,2479616
北海道電力,200611,2541329
北海道電力,200612,2666586
北海道電力,200701,3109748
北海道電力,200702,2920683
北海道電力,200703,2788973
北海道電力,200704,2701695
北海道電力,200705,2577588
北海道電力,200706,2373763
北海道電力,200707,2420747
北海道電力,200708,2540401
北海道電力,200709,2664005
北海道電力,200710,2498282
北海道電力,200711,2636538
北海道電力,200712,2764644
