北海道電力,date,value
北海道電力,200001,18581
北海道電力,200002,17035
北海道電力,200003,17896
北海道電力,200004,16762
北海道電力,200005,17582
北海道電力,200006,16537
北海道電力,200007,16186
北海道電力,200008,1211
北海道電力,200009,15090
北海道電力,200010,18672
北海道電力,200011,18857
北海道電力,200012,18990
北海道電力,200101,17612
北海道電力,200102,16233
北海道電力,200103,16983
北海道電力,200104,15686
北海道電力,200105,15069
北海道電力,200106,14404
北海道電力,200107,185
北海道電力,200108,3581
北海道電力,200109,13222
北海道電力,200110,14617
北海道電力,200111,14856
北海道電力,200112,15472
北海道電力,200201,17234
北海道電力,200202,15315
北海道電力,200203,16917
北海道電力,200204,16216
北海道電力,200205,16385
北海道電力,200206,9280
北海道電力,200207,6216
北海道電力,200208,15335
北海道電力,200209,15334
北海道電力,200210,18285
北海道電力,200211,17356
北海道電力,200212,18699
北海道電力,200301,18196
北海道電力,200302,15800
北海道電力,200303,17692
北海道電力,200304,16883
北海道電力,200305,16942
北海道電力,200306,15865
北海道電力,200307,215
北海道電力,200308,668
北海道電力,200309,14253
北海道電力,200310,14212
北海道電力,200311,13631
北海道電力,200312,16139
北海道電力,200401,16201
北海道電力,200402,14765
北海道電力,200403,15559
北海道電力,200404,14504
北海道電力,200405,14496
北海道電力,200406,7179
北海道電力,200407,11241
北海道電力,200408,14547
北海道電力,200409,14363
北海道電力,200410,14936
北海道電力,200411,13584
北海道電力,200412,15215
北海道電力,200501,15320
北海道電力,200502,13448
北海道電力,200503,14780
北海道電力,200504,13983
北海道電力,200505,14468
北海道電力,200506,6842
北海道電力,200507,1736
北海道電力,200508,15790
北海道電力,200509,14769
北海道電力,200510,14914
北海道電力,200511,13898
北海道電力,200512,14682
