北海道電力,date,value
北海道電力,200401,2869732
北海道電力,200402,2752995
北海道電力,200403,2636671
北海道電力,200404,2579366
北海道電力,200405,2362252
北海道電力,200406,2216097
北海道電力,200407,2301276
北海道電力,200408,2473356
北海道電力,200409,2477105
北海道電力,200410,2384132
北海道電力,200411,2432612
北海道電力,200412,2492619
北海道電力,200501,2982150
北海道電力,200502,2820765
北海道電力,200503,2670380
北海道電力,200504,2673384
北海道電力,200505,2425588
北海道電力,200506,2258319
北海道電力,200507,2319839
北海道電力,200508,2455904
北海道電力,200509,2554762
北海道電力,200510,2425584
北海道電力,200511,2431639
北海道電力,200512,2572230
