九州電力,date,value
九州電力,200001,138677
九州電力,200002,130593
九州電力,200003,136869
九州電力,200004,130257
九州電力,200005,133035
九州電力,200006,132895
九州電力,200007,132858
九州電力,200008,133475
九州電力,200009,130962
九州電力,200010,111833
九州電力,200011,121684
九州電力,200012,133757
九州電力,200101,120883
九州電力,200102,112092
九州電力,200103,133470
九州電力,200104,135078
九州電力,200105,120105
九州電力,200106,124884
九州電力,200107,127656
九州電力,200108,135287
九州電力,200109,131501
九州電力,200110,103605
九州電力,200111,111155
九州電力,200112,136586
九州電力,200201,140076
九州電力,200202,124913
九州電力,200203,136765
九州電力,200204,129469
九州電力,200205,136220
九州電力,200206,129010
九州電力,200207,128702
九州電力,200208,130120
九州電力,200209,118124
九州電力,200210,95708
九州電力,200211,115047
九州電力,200212,136105
九州電力,200301,135394
九州電力,200302,122488
九州電力,200303,132754
九州電力,200304,116596
九州電力,200305,131903
九州電力,200306,129579
九州電力,200307,131831
九州電力,200308,127406
九州電力,200309,119482
九州電力,200310,107104
九州電力,200311,117997
九州電力,200312,137424
九州電力,200401,135061
九州電力,200402,125087
九州電力,200403,136139
九州電力,200404,129677
九州電力,200405,133565
九州電力,200406,127295
九州電力,200407,129125
九州電力,200408,126522
九州電力,200409,125331
九州電力,200410,106003
九州電力,200411,128087
九州電力,200412,140841
九州電力,200501,142016
九州電力,200502,125881
九州電力,200503,139712
九州電力,200504,114720
九州電力,200505,131289
九州電力,200506,128762
九州電力,200507,118528
九州電力,200508,108226
九州電力,200509,99385
九州電力,200510,96330
九州電力,200511,124470
九州電力,200512,130347
