東北電力,date,value
東北電力,200001,6515189
東北電力,200002,6285301
東北電力,200003,6356764
東北電力,200004,6029007
東北電力,200005,5774129
東北電力,200006,5567131
東北電力,200007,6039020
東北電力,200008,6711048
東北電力,200009,6534776
東北電力,200010,5803061
東北電力,200011,5919958
東北電力,200012,6253636
東北電力,200101,6924613
東北電力,200102,6621427
東北電力,200103,6335990
東北電力,200104,5992557
東北電力,200105,5712859
東北電力,200106,5620622
東北電力,200107,6010269
東北電力,200108,6439841
東北電力,200109,5979253
東北電力,200110,5712946
東北電力,200111,5771821
東北電力,200112,6127114
東北電力,200201,6822621
東北電力,200202,6217637
東北電力,200203,6092270
東北電力,200204,5838885
東北電力,200205,5783427
東北電力,200206,5526998
東北電力,200207,5902738
東北電力,200208,6598148
東北電力,200209,6192876
東北電力,200210,5926299
東北電力,200211,6091046
東北電力,200212,6324316
東北電力,200301,7138783
東北電力,200302,6484632
東北電力,200303,6446447
東北電力,200304,6159178
東北電力,200305,5885666
東北電力,200306,5652017
東北電力,200307,5941017
東北電力,200308,6167358
東北電力,200309,6105352
東北電力,200310,6077105
東北電力,200311,5897367
東北電力,200312,6217135
東北電力,200401,7067866
東北電力,200402,6682106
東北電力,200403,6694764
東北電力,200404,6396842
東北電力,200405,5909368
東北電力,200406,5863592
東北電力,200407,6424571
東北電力,200408,6730886
東北電力,200409,6350026
東北電力,200410,6106301
東北電力,200411,5991134
東北電力,200412,6239194
東北電力,200501,7249230
東北電力,200502,6907401
東北電力,200503,7160522
東北電力,200504,6523966
東北電力,200505,6055469
東北電力,200506,6037741
東北電力,200507,6255267
東北電力,200508,6863530
東北電力,200509,6631038
東北電力,200510,6231934
東北電力,200511,6220360
東北電力,200512,6816534
