北海道電力,date,value
北海道電力,2006-01,3131735
北海道電力,2006-02,2922686
北海道電力,2006-03,2661764
北海道電力,2006-04,2715074
北海道電力,2006-05,2499483
北海道電力,2006-06,2291498
北海道電力,2006-07,2344762
北海道電力,2006-08,2526702
北海道電力,2006-09,2627320
北海道電力,2006-10,2479616
北海道電力,2006-11,2541329
北海道電力,2006-12,2666586
北海道電力,2007-01,3109748
北海道電力,2007-02,2920683
北海道電力,2007-03,2788973
北海道電力,2007-04,2701695
北海道電力,2007-05,2577588
北海道電力,2007-06,2373763
北海道電力,2007-07,2420747
北海道電力,2007-08,2540401
北海道電力,2007-09,2664005
北海道電力,2007-10,2498282
北海道電力,2007-11,2636538
北海道電力,2007-12,2764644
